"Groupe";"Nom";"CD_REF";"LB_NOM";"NOM_COMPL";"NOM_VERN";"CLASSE";"ORDRE";"FAMILLE";"PN";"PN_det";"LRN";"LRN_det";"LRN_H";"LRN_H_det";"LRN_P";"LRN_P_det";"DH";"DH_det";"DO";"DO_det";"ZH"
"Amphibiens";"Alytes (Alyte)";"189014";"Alytes";"Alytes Wagler, 1829";"Alyte";"Amphibia";"Anura";"Alytidae";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"Amphibiens";"Alytes almogavarii (Alyte catalan)";"964271";"Alytes almogavarii";"Alytes almogavarii Arntzen & García-París, 1995";"Alyte catalan (L'),  Alyte accoucheur almogavare (L')";"Amphibia";"Anura";"Alytidae";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"Amphibiens";"Alytes almogavarii almogavarii (Alyte catalan almogavare)";"1010138";"Alytes almogavarii almogavarii";"Alytes almogavarii almogavarii Arntzen & García-París, 1995";"Alyte catalan almogavare (L')";"Amphibia";"Anura";"Alytidae";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"Amphibiens";"Alytes almogavarii inigoi";"1002469";"Alytes almogavarii inigoi";"Alytes almogavarii inigoi Dufresnes & Hernandez, 2021";NA;"Amphibia";"Anura";"Alytidae";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"Amphibiens";"Alytes obstetricans (Alyte accoucheur)";"197";"Alytes obstetricans";"Alytes obstetricans (Laurenti, 1768)";"Alyte accoucheur (L'), Crapaud accoucheur";"Amphibia";"Anura";"Alytidae";"FRAR2";NA;"LC";NA;NA;NA;NA;NA;"CDH4";NA;NA;NA;NA
"Amphibiens";"Alytes obstetricans obstetricans (Alyte accoucheur)";"202";"Alytes obstetricans obstetricans";"Alytes obstetricans obstetricans (Laurenti, 1768)";"Alyte accoucheur (L')";"Amphibia";"Anura";"Alytidae";"FRAR2";NA;NA;NA;NA;NA;NA;NA;"CDH4";NA;NA;NA;NA
"Amphibiens";"Alytidae (Alytidés)";"444434";"Alytidae";"Alytidae Fitzinger, 1843";"Alytidés";"Amphibia";"Anura";"Alytidae";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"Amphibiens";"Aquarana";"1040528";"Aquarana";"Aquarana Dubois, 1992";NA;"Amphibia";"Anura";"Ranidae";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"Amphibiens";"Aquarana catesbeiana (Grenouille taureau)";"1040529";"Aquarana catesbeiana";"Aquarana catesbeiana (Shaw, 1802)";"Grenouille taureau (La)";"Amphibia";"Anura";"Ranidae";NA;NA;"NA";"a";NA;NA;NA;NA;NA;NA;NA;NA;NA
"Amphibiens";"Bombina (Sonneur)";"189946";"Bombina";"Bombina Oken, 1816";"Sonneur";"Amphibia";"Anura";"Bombinatoridae";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
