"REGION";"CD_REF";"PR";"PR_det";"LRR";"LRR_det";"LRR_H";"LRR_H_det";"LRR_P";"LRR_P_det";"PD";"PD_det";"ZNIEFF";"ZNIEFF_det"
"Alsace";"92";NA;NA;"LC";NA;NA;NA;NA;NA;NA;NA;NA;NA
"Alsace";"139";NA;NA;"NT";"pr. B2b(iii)";NA;NA;NA;NA;NA;NA;"Oui";NA
"Alsace";"197";NA;NA;"NT";"pr. B2b(iii)";NA;NA;NA;NA;NA;NA;"Oui";NA
"Alsace";"206";NA;NA;"NA";"i";NA;NA;NA;NA;NA;NA;NA;NA
"Alsace";"212";NA;NA;"NT";"pr. A2a";NA;NA;NA;NA;NA;NA;"Oui";NA
"Alsace";"240";NA;NA;"EN";"B2ab(iii,iv)";NA;NA;NA;NA;NA;NA;"Oui";NA
"Alsace";"252";NA;NA;"VU";"B2b(iii)c(ii)";NA;NA;NA;NA;NA;NA;NA;NA
"Alsace";"259";NA;NA;"LC";NA;NA;NA;NA;NA;NA;NA;NA;NA
"Alsace";"281";NA;NA;"NT";"pr. B2b(iii,iv)";NA;NA;NA;NA;NA;NA;"Oui";NA
"Alsace";"299";NA;NA;"CR";"D";NA;NA;NA;NA;NA;NA;"Oui";NA
"Alsace";"310";NA;NA;"LC";NA;NA;NA;NA;NA;NA;NA;NA;NA
"Alsace";"351";NA;NA;"NT";"pr. A2b";NA;NA;NA;NA;NA;NA;NA;NA
"Alsace";"965";NA;NA;"NT";"pr. D1";NA;NA;NA;NA;NA;NA;NA;NA
"Alsace";"977";NA;NA;"VU";"D1";NA;NA;NA;NA;NA;NA;"Oui";NA
"Alsace";"1952";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"Oui";NA
"Alsace";"1958";NA;NA;"CR";"D1";NA;NA;NA;NA;NA;NA;"Oui";NA
"Alsace";"1966";NA;NA;"LC";NA;NA;NA;NA;NA;NA;NA;NA;NA
"Alsace";"1972";NA;NA;"NA";NA;NA;NA;NA;NA;NA;NA;NA;NA
"Alsace";"1991";NA;NA;"CR";"D1";NA;NA;NA;NA;NA;NA;"Oui";NA
"Alsace";"1998";NA;NA;"VU";"D1";NA;NA;NA;NA;NA;NA;"Oui";NA
"Alsace";"2440";NA;NA;"NT";"pr. D1";NA;NA;NA;NA;NA;NA;"Oui";NA
"Alsace";"2473";NA;NA;"RE";NA;NA;NA;NA;NA;NA;NA;"Oui";NA
"Alsace";"2477";NA;NA;"CR";"D1";NA;NA;NA;NA;NA;NA;"Oui";NA
"Alsace";"2481";NA;NA;"DD";NA;NA;NA;NA;NA;NA;NA;"Oui";NA
"Alsace";"2497";NA;NA;"NA";NA;NA;NA;NA;NA;NA;NA;"Oui";NA
"Alsace";"2504";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"Oui";NA
"Alsace";"2506";NA;NA;"LC";NA;NA;NA;NA;NA;NA;NA;NA;NA
"Alsace";"2508";NA;NA;"NA";NA;NA;NA;NA;NA;NA;NA;"Oui";NA
"Alsace";"2514";NA;NA;"DD";NA;NA;NA;NA;NA;NA;NA;"Oui";NA
"Alsace";"2517";NA;NA;"LC";NA;NA;NA;NA;NA;NA;NA;"Oui";NA
"Alsace";"2543";NA;NA;"RE";NA;NA;NA;NA;NA;NA;NA;NA;NA
"Alsace";"2559";NA;NA;"LC";NA;NA;NA;NA;NA;NA;NA;NA;NA
"Alsace";"2563";NA;NA;"NA";NA;NA;NA;NA;NA;NA;NA;NA;NA
"Alsace";"2576";NA;NA;"CR";"C1";NA;NA;NA;NA;NA;NA;"Oui";NA
"Alsace";"2586";NA;NA;"RE";NA;NA;NA;NA;NA;NA;NA;NA;NA
"Alsace";"2603";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"Oui";NA
"Alsace";"2616";NA;NA;"RE";NA;NA;NA;NA;NA;NA;NA;NA;NA
"Alsace";"2623";NA;NA;"LC";NA;NA;NA;NA;NA;NA;NA;NA;NA
"Alsace";"2645";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"Oui";NA
"Alsace";"2660";NA;NA;"RE";NA;NA;NA;NA;NA;NA;NA;NA;NA
"Alsace";"2669";NA;NA;"LC";NA;NA;NA;NA;NA;NA;NA;NA;NA
"Alsace";"2674";NA;NA;"NA";NA;NA;NA;NA;NA;NA;NA;NA;NA
"Alsace";"2679";NA;NA;"VU";"D1";NA;NA;NA;NA;NA;NA;NA;NA
"Alsace";"2706";NA;NA;"NA";NA;NA;NA;NA;NA;NA;NA;NA;NA
"Alsace";"2741";NA;NA;"NA";NA;NA;NA;NA;NA;NA;NA;NA;NA
"Alsace";"2747";NA;NA;"NA";NA;NA;NA;NA;NA;NA;NA;NA;NA
"Alsace";"2767";NA;NA;"NA";NA;NA;NA;NA;NA;NA;NA;NA;NA
"Alsace";"2818";NA;NA;"VU";"CR (D1) (-2)";NA;NA;NA;NA;NA;NA;"Oui";NA
"Alsace";"2832";NA;NA;"VU";"D1";NA;NA;NA;NA;NA;NA;"Oui";NA
"Alsace";"2840";NA;NA;"VU";"D1";NA;NA;NA;NA;NA;NA;NA;NA
"Alsace";"2844";NA;NA;"EN";"D1";NA;NA;NA;NA;NA;NA;"Oui";NA
"Alsace";"2873";NA;NA;"RE";NA;NA;NA;NA;NA;NA;NA;NA;NA
"Alsace";"2878";NA;NA;"CR";"D1";NA;NA;NA;NA;NA;NA;"Oui";NA
"Alsace";"2881";NA;NA;"RE";NA;NA;NA;NA;NA;NA;NA;NA;NA
"Alsace";"2887";NA;NA;"CR";"D1";NA;NA;NA;NA;NA;NA;"Oui";NA
"Alsace";"2891";NA;NA;"VU";"D1";NA;NA;NA;NA;NA;NA;NA;NA
"Alsace";"2895";NA;NA;"LC";NA;NA;NA;NA;NA;NA;NA;NA;NA
"Alsace";"2938";NA;NA;"VU";"EN (D1) (-1)";NA;NA;NA;NA;NA;NA;"Oui";NA
"Alsace";"2962";NA;NA;"RE";NA;NA;NA;NA;NA;NA;NA;NA;NA
"Alsace";"2964";NA;NA;"CR";"D1";NA;NA;NA;NA;NA;NA;"Oui";NA
"Alsace";"2975";NA;NA;"NA";NA;NA;NA;NA;NA;NA;NA;NA;NA
"Alsace";"2989";NA;NA;"EN";"D1";NA;NA;NA;NA;NA;NA;"Oui";NA
"Alsace";"2996";NA;NA;"NT";"pr. D1";NA;NA;NA;NA;NA;NA;"Oui";NA
