"HAB";"TYPO";"CD_LB";"CD";"LB";"NIVEAU"
"79";"7";"A Habitats marins";"A";"Habitats marins";"1"
"579";"7";"A1 Roche et autres substrats durs intertidaux";"A1";"Roche et autres substrats durs intertidaux";"2"
"1591";"7";"A1.1 Roche intertidale sous fort hydrodynamisme";"A1.1";"Roche intertidale sous fort hydrodynamisme";"3"
"4664";"7";"A1.11 Biocénoses à moules et/ou à balanes";"A1.11";"Biocénoses à moules et/ou à balanes";"4"
"10326";"7";"A1.111 Mytilus edulis et balanes sur roche médiolittorale très exposée";"A1.111";"Mytilus edulis et balanes sur roche médiolittorale très exposée";"5"
"10327";"7";"A1.112 Chthamalus spp. sur roche exposée du médiolittoral supérieur";"A1.112";"Chthamalus spp. sur roche exposée du médiolittoral supérieur";"5"
"17356";"7";"A1.1121 Chthamalus montagui et Chthamalus stellatus sur roche exposée du médiolittoral supérieur";"A1.1121";"Chthamalus montagui et Chthamalus stellatus sur roche exposée du médiolittoral supérieur";"6"
"17357";"7";"A1.1122 Chthamalus spp. et Lichina pygmaea sur roche escarpée et exposée du médiolittoral supérieur";"A1.1122";"Chthamalus spp. et Lichina pygmaea sur roche escarpée et exposée du médiolittoral supérieur";"6"
"10328";"7";"A1.113 Semibalanus balanoides sur roche exposée à modérément exposée ou sur paroi rocheuse verticale abritée médiolittorale";"A1.113";"Semibalanus balanoides sur roche exposée à modérément exposée ou sur paroi rocheuse verticale abritée médiolittorale";"5"
"17358";"7";"A1.1131 Semibalanus balanoides, Patella vulgata et Littorina spp. sur roche exposée à modérément exposée ou sur paroi rocheuse verticale abritée médiolittorale";"A1.1131";"Semibalanus balanoides, Patella vulgata et Littorina spp. sur roche exposée à modérément exposée ou sur paroi rocheuse verticale abritée médiolittorale";"6"
