"Groupe";"Nom";"CD_REF";"LB_NOM";"NOM_COMPL";"NOM_VERN";"CLASSE";"ORDRE";"FAMILLE";"PN";"PN_det";"LRN";"LRN_det";"LRN_H";"LRN_H_det";"LRN_P";"LRN_P_det";"DH";"DH_det";"DO";"DO_det";"ZH"
"Fonge";"Abortiporus";"188671";"Abortiporus";"Abortiporus Murrill, 1904";NA;NA;"Polyporales";"Meripilaceae";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"Fonge";"Abortiporus biennis (Polypore bisannuel)";"41255";"Abortiporus biennis";"Abortiporus biennis (Bull.) Singer, 1944";"Polypore bisannuel";NA;"Polyporales";"Meripilaceae";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"Fonge";"Abrothallaceae";"812968";"Abrothallaceae";"Abrothallaceae Pérez-Ort. & Suija, 2013";NA;NA;"Abrothallales";"Abrothallaceae";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"Fonge";"Abrothallus";"188675";"Abrothallus";"Abrothallus De Not., 1845";NA;NA;"Abrothallales";"Abrothallaceae";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"Fonge";"Abrothallus acetabuli";"660455";"Abrothallus acetabuli";"Abrothallus acetabuli Diederich, 1990";NA;NA;"Abrothallales";"Abrothallaceae";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"Fonge";"Abrothallus bertianus";"45269";"Abrothallus bertianus";"Abrothallus bertianus De Not., 1846";NA;NA;"Abrothallales";"Abrothallaceae";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"Fonge";"Abrothallus bryoriarum";"1015602";"Abrothallus bryoriarum";"Abrothallus bryoriarum Hafellner, 1994";NA;NA;"Abrothallales";"Abrothallaceae";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"Fonge";"Abrothallus buellianus";"660454";"Abrothallus buellianus";"Abrothallus buellianus De Not., 1846";NA;NA;"Abrothallales";"Abrothallaceae";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"Fonge";"Abrothallus caerulescens";"660453";"Abrothallus caerulescens";"Abrothallus caerulescens I.Kotte, 1909";NA;NA;"Abrothallales";"Abrothallaceae";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"Fonge";"Abrothallus cetrariae";"660452";"Abrothallus cetrariae";"Abrothallus cetrariae I.Kotte, 1909";NA;NA;"Abrothallales";"Abrothallaceae";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"Fonge";"Abrothallus chrysanthus";"665638";"Abrothallus chrysanthus";"Abrothallus chrysanthus Stein, 1879";NA;NA;"Abrothallales";"Abrothallaceae";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"Fonge";"Abrothallus cladoniae";"660451";"Abrothallus cladoniae";"Abrothallus cladoniae R.Sant. & D.Hawksw., 1990";NA;NA;"Abrothallales";"Abrothallaceae";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"Fonge";"Abrothallus lobariae";"1047638";"Abrothallus lobariae";"Abrothallus lobariae (Diederich & Etayo) Diederich & Ertz, 2018";NA;NA;"Abrothallales";"Abrothallaceae";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"Fonge";"Abrothallus microspermus";"59601";"Abrothallus microspermus";"Abrothallus microspermus Tul., 1852";NA;NA;"Abrothallales";"Abrothallaceae";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"Fonge";"Abrothallus parmeliarum";"45272";"Abrothallus parmeliarum";"Abrothallus parmeliarum (Sommerf.) Arnold, 1874";NA;NA;"Abrothallales";"Abrothallaceae";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"Fonge";"Abrothallus parmotrematis";"660450";"Abrothallus parmotrematis";"Abrothallus parmotrematis Diederich, 2011";NA;NA;"Abrothallales";"Abrothallaceae";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"Fonge";"Abrothallus peyritschii";"660449";"Abrothallus peyritschii";"Abrothallus peyritschii (Stein) I.Kotte, 1909";NA;NA;"Abrothallales";"Abrothallaceae";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"Fonge";"Abrothallus prodiens";"660448";"Abrothallus prodiens";"Abrothallus prodiens (Harm.) Diederich & Hafellner, 1990";NA;NA;"Abrothallales";"Abrothallaceae";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"Fonge";"Abrothallus ramalinae";"1079489";"Abrothallus ramalinae";"Abrothallus ramalinae Diederich, 2017";NA;NA;"Abrothallales";"Abrothallaceae";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"Fonge";"Abrothallus santessonii";"1015605";"Abrothallus santessonii";"Abrothallus santessonii (D.Hawksw.) A.Suija, D.Hawksw. & Pérez-Ort., 2018";NA;NA;"Abrothallales";"Abrothallaceae";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"Fonge";"Abrothallus suecicus";"45273";"Abrothallus suecicus";"Abrothallus suecicus (Kirschst.) Nordin, 1964";NA;NA;"Abrothallales";"Abrothallaceae";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
