"LB_TYPE_STATUT";"CODE_STATUT";"LABEL_STATUT"
"Directive Habitat";"CDH2";"Directive 92/43/CEE (Directive européenne dite Directive Habitats-Faune-Flore) : Annexe II"
"Directive Habitat";"CDH4";"Directive 92/43/CEE (Directive européenne dite Directive Habitats-Faune-Flore) : Annexe IV"
"Directive Habitat";"CDH5";"Directive 92/43/CEE (Directive européenne dite Directive Habitats-Faune-Flore) : Annexe V"
"Directive Oiseaux";"CDO1";"Directive 79/409/CEE (Directive européenne dite Directive Oiseaux) : Annexe I"
"Directive Oiseaux";"CDO21";"Directive 79/409/CEE (Directive européenne dite Directive Oiseaux) : Annexe II/1"
"Directive Oiseaux";"CDO22";"Directive 79/409/CEE (Directive européenne dite Directive Oiseaux) : Annexe II/2"
"Directive Oiseaux";"CDO31";"Directive 79/409/CEE (Directive européenne dite Directive Oiseaux) : Annexe III/1"
"Directive Oiseaux";"CDO32";"Directive 79/409/CEE (Directive européenne dite Directive Oiseaux) : Annexe III/2"
"Protection départementale";"DV01";"Liste des espèces végétales protégées en région Rhône-Alpes : Article 2"
"Protection départementale";"DV04";"Liste des espèces végétales protégées en région Provence-Alpes-Côte-d'Azur : Article 2"
"Protection départementale";"DV05";"Liste des espèces végétales protégées en région Provence-Alpes-Côte-d'Azur : Article 3"
"Protection départementale";"DV06";"Liste des espèces végétales protégées en région Provence-Alpes-Côte-d'Azur : Article 4"
"Protection départementale";"DV08";"Liste des espèces végétales protégées en région Champagne-Ardenne : Article 2"
"Protection départementale";"DV09";"Liste des espèces végétales protégées en région Midi-Pyrénées : Article 2"
"Protection départementale";"DV10";"Liste des espèces végétales protégées en région Champagne-Ardenne : Article 3"
"Protection départementale";"DV12";"Liste des espèces végétales protégées en région Midi-Pyrénées : Article 3"
"Protection départementale";"DV19";"Liste des espèces végétales protégées en région Limousin : Article 2"
"Protection départementale";"DV23";"Liste des espèces végétales protégées en région Limousin : Article 3"
"Protection départementale";"DV24";"Liste des espèces végétales protégées en région Aquitaine : Article 2"
"Protection départementale";"DV31";"Liste des espèces végétales protégées en région Midi-Pyrénées : Article 4"
"Protection départementale";"DV32";"Liste des espèces végétales protégées en région Midi-Pyrénées : Article 5"
"Protection départementale";"DV33";"Liste des espèces végétales protégées en région Aquitaine : Article 3"
"Protection départementale";"DV38";"Liste des espèces végétales protégées en région Rhône-Alpes : Article 3"
"Protection départementale";"DV40";"Liste des espèces végétales protégées en région Aquitaine : Article 4"
"Protection départementale";"DV42";"Liste des espèces végétales protégées en région Rhône-Alpes : Article 4"
"Protection départementale";"DV46";"Liste des espèces végétales protégées en région Midi-Pyrénées : Article 6"
"Protection départementale";"DV47";"Liste des espèces végétales protégées en région Aquitaine : Article 5"
"Protection départementale";"DV51";"Liste des espèces végétales protégées en région Champagne-Ardenne : Article 4"
"Protection départementale";"DV54";"Liste des espèces végétales protégées en région Lorraine : Article 2"
"Protection départementale";"DV55";"Liste des espèces végétales protégées en région Lorraine : Article 3"
"Protection départementale";"DV57";"Liste des espèces végétales protégées en région Lorraine : Article 4"
"Protection départementale";"DV64";"Liste des espèces végétales protégées en région Aquitaine : Article 6"
"Protection départementale";"DV65";"Liste des espèces végétales protégées en région Midi-Pyrénées : Article 7"
"Protection départementale";"DV74";"Liste des espèces végétales protégées en région Rhône-Alpes : Article 5"
"Protection départementale";"DV81";"Liste des espèces végétales protégées en région Midi-Pyrénées : Article 8"
"Protection départementale";"DV82";"Liste des espèces végétales protégées en région Midi-Pyrénées : Article 9"
"Protection départementale";"DV83";"Liste des espèces végétales protégées en région Provence-Alpes-Côte-d'Azur : Article 5"
"Protection départementale";"DV84";"Liste des espèces végétales protégées en région Provence-Alpes-Côte-d'Azur : Article 6"
"Protection départementale";"DV86";"Liste des espèces végétales protégées en région Poitou-Charentes : Article 2"
"Protection départementale";"DV87";"Liste des espèces végétales protégées en région Limousin : Article 4"
"Protection départementale";"PV261";"Protection et réglementation de certaines espèces végétales et champignons dans le département de la Drôme : Article 1"
"Protection départementale";"PV292";"Réglementation de la cueillette de certaines espèces végétales sauvages dans le département du Finistère : Article 2"
"Protection départementale";"PV382";"Protection des espèces végétales sauvages et champignons dans le département de l'Isère : Article 2"
"Protection départementale";"PV421";"Protection et réglementation de certaines espèces végétales dans le département de la Loire : Article 1"
"Protection départementale";"V04P2";"Réglementation de la cueillette de certaines espèces végétales sauvages dans le département des Alpes-de-Haute-Provence : Article 2"
"Protection départementale";"V06P1";"Protection et réglementation de certaines espèces végétales dans le département des Alpes-Maritimes : Article 1"
"Protection départementale";"V14P1";"Réglementation relative à la récolte ou au ramassage de certaines espèces végétales sauvages dans le département du Calvados : Article 1"
"Protection départementale";"V18P1";"Liste des espèces végétales faisant l'objet d'une réglementation de ramassage, de récolte ou de cession à titre gratuit ou onéreux dans le département du Cher : Article 1"
"Protection départementale";"V18P2";"Liste des espèces végétales faisant l'objet d'une réglementation de ramassage, de récolte ou de cession à titre gratuit ou onéreux dans le département du Cher : Article 2"
"Protection départementale";"V18P3";"Liste des espèces végétales faisant l'objet d'une réglementation de ramassage, de récolte ou de cession à titre gratuit ou onéreux dans le département du Cher : Article 3"
"Protection départementale";"V28P1";"Liste des espèces végétales faisant l'objet d'une réglementation de ramassage, de récolte ou de cession à titre gratuit ou onéreux dans le département d'Eure-et-Loir : Article 1er"
"Protection départementale";"V35P1";"Réglementation de la cueillette de certaines plantes sauvages dans le département d'Ille-et-Vilaine : Article 1"
"Protection départementale";"V39P1";"Réglementation de la cueillette de certaines plantes sauvages dans le département du Jura : Article 1"
"Protection départementale";"V41P2";"Liste des espèces végétales faisant l'objet d'une réglementation de ramassage, de récolte ou de cession à titre gratuit ou onéreux dans le département de Loir-et-Cher : Article 2"
"Protection départementale";"V44P2";"Réglementation de la cueillette de certaines plantes sauvages dans le département de Loire-Atlantique : Article 2"
"Protection départementale";"V44P4";"Réglementation de la cueillette de certaines plantes sauvages dans le département de Loire-Atlantique : Article 4"
"Protection départementale";"V45P3";"Liste des espèces végétales faisant l'objet d'une réglementation de ramassage, de récolte ou de cession à titre gratuit ou onéreux dans le département du Loiret : Article 3"
"Protection départementale";"V46P4";"Réglementation de la cueillette de certaines espèces végétales sauvages en tout temps et sur tout le territoire du département du Lot : Article 4"
"Protection départementale";"V48P1";"Réglementation de la cueillette de certaines plantes sauvages dans le département de la Lozère : Article 1"
"Protection départementale";"V50P1";"Réglementation de la récolte ou du ramassage de certaines espèces végétales sauvages dans le département de la Manche : Article 1"
"Protection départementale";"V53P1";"Réglementation de la cueillette de certaines plantes sauvages dans le département de la Mayenne : Article 1er"
"Protection départementale";"V54P3";"Réglementation de la cueillette de certaines plantes sauvages dans le département de Meurthe-et-Moselle : Article 3"
"Protection départementale";"V61P1";"Réglementant la récolte ou le ramassage de certaines espèces végétales sauvages dans le département de l'Orne : Article 1er"
"Protection départementale";"V93P1";"Protection du muguet dans le département de Seine-Saint-Denis : Article 1"
"Protection nationale";"FRAR2";"Arrêté du 8 janvier 2021 fixant la liste des amphibiens et des reptiles représentés sur le territoire métropolitain protégés sur l'ensemble du territoire national et les modalités de leur protection : Article 2"
"Protection nationale";"FRAR3";"Arrêté du 8 janvier 2021 fixant la liste des amphibiens et des reptiles représentés sur le territoire métropolitain protégés sur l'ensemble du territoire national et les modalités de leur protection : Article 3"
"Protection nationale";"FRAR4";"Arrêté du 8 janvier 2021 fixant la liste des amphibiens et des reptiles représentés sur le territoire métropolitain protégés sur l'ensemble du territoire national et les modalités de leur protection : Article 4"
"Protection nationale";"NA";"Protection de l’espèce Acipenser sturio (esturgeon) :"
"Protection nationale";"NEC1";"Protection des écrevisses autochtones sur le territoire français métropolitain : Article 1"
"Protection nationale";"NFM1";"Liste des animaux de la faune marine protégés sur l’ensemble du territoire français métropolitain : Article 1"
"Protection nationale";"NI2";"Liste des insectes protégés sur l'ensemble du territoire et les modalités de leur protection : Article 2"
